State,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,while,comp,else,return,class,$,S,CODE,VDECL,ASSIGN,RHS,EXPR,EXPR2,TERM,TERM2,FACTOR,FDECL,ARG,MOREARGS,STMT,BLOCK,COND,COND2,ELSE,RETURN,CDECL,ODECL
78,,,,,,,,,,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,s55,s56,,,,,,,,,,,,r31,,s53,s54,,,r31,,,,,51,52,,,,,,,,,,50,82,,,,,,
80,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,s55,s56,,,,,,,,,,,,r31,,s53,s54,,,r31,,,,,51,52,,,,,,,,,,50,83,,,,,,
82,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,r36,r36,,,,,,,,,,,,r36,,r36,r36,,s87,r36,,,,,,,,,,,,,,,,,,,,86,,,
85,r29,r29,,,,,,,,,,,,r29,,r29,r29,,,r29,,,,,,,,,,,,,,,,,,,,,,,
86,r28,r28,,,,,,,,,,,,r28,,r28,r28,,,r28,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,s55,s56,,,,,,,,,,,,r31,,s53,s54,,,r31,,,,,51,52,,,,,,,,,,50,89,,,,,,
89,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,r35,r35,,,,,,,,,,,,r35,,r35,r35,,,r35,,,,,,,,,,,,,,,,,,,,,,,
